date,amount,category,note,type,account,payment_type
2023-01-15,-100.0,Transportation,x2 Burgas - 2x20,Expenses,Cash,CASH
2023-01-16,-60.0,Fuel,,Expenses,Cash,CASH
2023-01-18,-100.0,"Electronics, accessories",neustoika pixel phone,Expenses,Cash,CASH
2023-01-18,-10.0,Vehicle maintenance,headlight,Expenses,Cash,CASH
2023-01-18,-55.0,"Books, audio, subscription",Koleda,Expenses,Cash,CASH
2023-01-22,-26.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-22,-93.0,"Holiday, trips, hotels",Train,Expenses,Cash,CASH
2023-01-22,-98.0,"Books, audio, subscription",,Expenses,Cash,CASH
2023-01-23,-30.0,Groceries,,Expenses,Cash,CASH
2023-01-23,-25.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2023-01-23,-120.0,"Holiday, trips, hotels",Stayokay,Expenses,Cash,CASH
2023-01-23,-19.0,"Holiday, trips, hotels",Ams-Ut,Expenses,Cash,CASH
2023-01-23,-44.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2023-01-23,-44.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-23,-12.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-23,-24.0,Transportation,Bus to practice,Expenses,Cash,CASH
2023-01-23,-8.0,"Bar, cafe",,Expenses,Cash,CASH
2023-01-23,-8.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-23,-55.0,"Books, audio, subscription",,Expenses,Cash,CASH
2023-01-23,-17.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-23,-32.0,"Bar, cafe",,Expenses,Cash,CASH
2023-01-23,-8.0,"Bar, cafe",,Expenses,Cash,CASH
2023-01-23,-25.0,"Books, audio, subscription",,Expenses,Cash,CASH
2023-01-23,-50.0,"Alcohol, tobacco",In total,Expenses,Cash,CASH
2023-01-23,-7.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2023-01-23,-30.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-23,-69.0,"Charity, gifts",,Expenses,Cash,CASH
2023-01-23,-15.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2023-01-27,-15.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-27,-15.0,"Pets, animals",,Expenses,Cash,CASH
2023-01-27,-27.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-28,-14.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-30,-10.0,"Pets, animals",,Expenses,Cash,CASH
2023-02-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2023-02-01,-160.0,"Energy, utilities",,Expenses,Cash,CASH
2023-02-01,-35.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-01,-550.0,Rent,,Expenses,Cash,CASH
2023-02-01,-5.0,Groceries,,Expenses,Cash,CASH
2023-02-03,-49.66,Missing,,Expenses,Cash,CASH
2023-02-03,-80.0,"Bar, cafe",,Expenses,Cash,CASH
2023-02-03,-13.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-03,-20.0,"Culture, sport events",Party,Expenses,Cash,CASH
2023-02-04,-16.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-04,-61.0,Groceries,-123,Expenses,Cash,CASH
2023-02-05,-25.0,"Culture, sport events",,Expenses,Cash,CASH
2023-02-05,-25.0,Groceries,,Expenses,Cash,CASH
2023-02-05,-14.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-07,-230.0,Vehicle Insurance,данък,Expenses,Cash,CASH
2023-02-08,-35.0,"Phone, cell phone",,Expenses,Cash,CASH
2023-02-09,-82.0,,,Expenses,Cash,CASH
2023-02-10,,"Health care, doctor",150 Dentist,Expenses,Cash,CASH
2023-02-10,-66.0,Groceries,,Expenses,Cash,CASH
2023-02-11,-8.0,"Bar, cafe",,Expenses,Cash,CASH
2023-02-11,-90.0,Clothes & shoes,ochila,Expenses,Cash,CASH
2023-02-11,-13.0,Groceries,,Expenses,Cash,CASH
2023-02-11,-70.0,Fuel,,Expenses,Cash,CASH
2023-02-13,-50.0,Fines,,Expenses,Cash,CASH
2023-02-13,-130.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2023-02-13,-21.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-14,-14.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-14,-11.0,Groceries,,Expenses,Cash,CASH
2023-02-18,-17.0,Groceries,,Expenses,Cash,CASH
2023-02-20,-15.0,"Bar, cafe",,Expenses,Cash,CASH
2023-02-20,-7.0,Groceries,,Expenses,Cash,CASH
2023-02-24,-100.0,Fuel,,Expenses,Cash,CASH
2023-02-24,-20.0,"Charity, gifts",,Expenses,Cash,CASH
2023-02-24,-23.0,Groceries,,Expenses,Cash,CASH
2023-02-24,-60.0,Food & Drinks,,Expenses,Cash,CASH
2023-02-27,-20.0,"Health care, doctor",,Expenses,Cash,CASH
2023-02-27,-30.0,Food & Drinks,,Expenses,Cash,CASH
2023-03-01,-50.0,,,Expenses,Cash,CASH
2023-03-01,-550.0,Rent,,Expenses,Cash,CASH
2023-03-01,-105.0,"Energy, utilities",,Expenses,Cash,CASH
2023-03-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2023-03-01,-26.0,"Phone, cell phone",,Expenses,Cash,CASH
2023-03-01,-10.0,"Culture, sport events",,Expenses,Cash,CASH
2023-03-02,-58.0,Food & Drinks,,Expenses,Cash,CASH
